,Teams2015,Points2015,Goals+2015,Goals-2015,Teams2016,Points2016,Goals+2016,Goals-2016,Teams2017,Points2017,Goals+2017,Goals-2017,Teams2018,Points2018,Goals+2018,Goals-2018,Teams2019,Points2019,Goals+2019,Goals-2019
0,AFC Bournemouth ,42,23,34,Burnley FC ,40,26,20,Arsenal FC ,63,54,20,Manchester United FC ,66,33,25,Liverpool FC ,82,40,12
1,Chelsea FC ,50,32,30,Crystal Palace FC ,41,24,25,Brighton & Hove Albion FC ,40,24,25,AFC Bournemouth ,45,30,25,West Ham United FC ,27,23,26
2,Everton FC ,47,35,30,Everton FC ,61,42,16,Chelsea FC ,70,30,16,Fulham FC ,26,22,36,AFC Bournemouth ,27,17,21
3,Leicester City FC ,81,35,18,Hull City AFC ,34,28,35,Crystal Palace FC ,44,29,27,Huddersfield Town AFC ,16,10,31,Burnley FC ,39,20,19
4,Manchester United FC ,66,27,9,Manchester City FC ,78,37,17,Everton FC ,49,28,22,Newcastle United FC ,45,24,25,Crystal Palace FC ,39,12,13
5,Norwich City FC ,34,26,30,Middlesbrough FC ,28,17,23,Southampton FC ,36,20,26,Watford FC ,50,26,28,Watford FC ,27,16,17
6,Arsenal FC ,71,31,11,Southampton FC ,46,17,21,Watford FC ,41,27,31,Wolverhampton Wanderers FC ,57,28,21,Tottenham Hotspur FC ,41,27,15
7,Newcastle United FC ,37,32,24,Arsenal FC ,75,39,16,West Bromwich Albion FC ,31,21,29,Arsenal FC ,70,42,16,Leicester City FC ,53,30,15
8,Stoke City FC ,51,22,24,AFC Bournemouth ,46,35,29,Manchester United FC ,81,38,9,Liverpool FC ,97,55,10,Newcastle United FC ,35,12,12
9,West Bromwich Albion FC ,43,20,26,Chelsea FC ,93,55,17,Newcastle United FC ,44,21,17,Southampton FC ,39,27,30,Manchester United FC ,45,29,12
10,Aston Villa FC ,17,14,35,Manchester United FC ,69,26,12,AFC Bournemouth ,44,26,30,Cardiff City FC ,34,21,38,Arsenal FC ,40,26,20
11,Southampton FC ,63,39,22,Leicester City FC ,44,31,25,Burnley FC ,54,16,17,Chelsea FC ,72,39,12,Aston Villa FC ,25,18,24
12,Sunderland AFC ,39,23,20,Stoke City FC ,44,24,24,Leicester City FC ,47,25,22,Everton FC ,54,30,21,Brighton & Hove Albion FC ,29,17,15
13,Swansea City AFC ,47,20,20,Swansea City AFC ,41,27,34,Liverpool FC ,75,45,10,Leicester City FC ,52,24,20,Everton FC ,37,19,15
14,Tottenham Hotspur FC ,70,35,15,Tottenham Hotspur FC ,86,47,9,Stoke City FC ,33,20,30,Tottenham Hotspur FC ,71,34,16,Norwich City FC ,21,19,26
15,Watford FC ,45,20,19,Watford FC ,40,25,29,Swansea City AFC ,33,17,24,West Ham United FC ,52,32,27,Southampton FC ,34,16,31
16,West Ham United FC ,62,34,26,West Bromwich Albion FC ,45,27,22,Huddersfield Town AFC ,37,16,25,Brighton & Hove Albion FC ,36,19,28,Manchester City FC ,57,33,12
17,Crystal Palace FC ,42,19,23,Sunderland AFC ,24,16,34,Tottenham Hotspur FC ,77,40,16,Burnley FC ,40,24,32,Sheffield United FC ,43,17,13
18,Manchester City FC ,66,47,21,West Ham United FC ,45,19,31,Manchester City FC ,100,61,14,Manchester City FC ,98,57,12,Chelsea FC ,48,22,15
19,Liverpool FC ,60,33,22,Liverpool FC ,76,45,18,West Ham United FC ,42,24,26,Crystal Palace FC ,49,19,23,Wolverhampton Wanderers FC ,43,21,17
