,Year,Teams,Points,Goals+,Goals-
0,2015,SS Lazio ,54,32,23
1,2015,Hellas Verona FC ,28,21,30
2,2015,Empoli ,46,22,20
3,2015,ACF Fiorentina ,64,34,16
4,2015,Frosinone ,31,18,26
5,2015,FC Internazionale Milano ,67,29,15
6,2015,Juventus ,91,37,6
7,2015,Palermo ,39,24,30
8,2015,UC Sampdoria ,40,29,25
9,2015,US Sassuolo Calcio ,61,25,20
10,2015,Bologna FC ,42,20,21
11,2015,AC Milan ,57,28,22
12,2015,Atalanta BC ,45,27,21
13,2015,Carpi ,38,23,26
14,2015,AC Chievo Verona ,50,25,18
15,2015,Genoa CFC ,46,29,19
16,2015,SSC Napoli ,82,49,12
17,2015,AS Roma ,80,44,17
18,2015,Torino FC ,45,25,25
19,2015,Udinese Calcio ,39,18,28
20,2016,Juventus ,91,48,9
21,2016,AS Roma ,87,50,18
22,2016,Atalanta BC ,72,31,18
23,2016,Bologna FC ,41,24,25
24,2016,AC Chievo Verona ,43,25,30
25,2016,Empoli ,32,16,29
26,2016,Genoa CFC ,36,24,24
27,2016,AC Milan ,63,32,20
28,2016,Palermo ,26,13,30
29,2016,Pescara ,18,19,38
30,2016,SS Lazio ,70,40,23
31,2016,SSC Napoli ,86,44,19
32,2016,Cagliari Calcio ,47,38,34
33,2016,FC Crotone ,34,21,25
34,2016,ACF Fiorentina ,60,34,23
35,2016,FC Internazionale Milano ,62,44,22
36,2016,UC Sampdoria ,48,28,23
37,2016,US Sassuolo Calcio ,46,27,28
38,2016,Torino FC ,53,43,31
39,2016,Udinese Calcio ,45,30,23
40,2017,Juventus ,95,45,8
41,2017,Hellas Verona FC ,25,14,35
42,2017,Atalanta BC ,60,30,18
43,2017,Bologna FC ,39,25,26
44,2017,FC Crotone ,35,23,25
45,2017,FC Internazionale Milano ,72,37,16
46,2017,SS Lazio ,72,45,21
47,2017,UC Sampdoria ,54,36,20
48,2017,US Sassuolo Calcio ,43,11,22
49,2017,Udinese Calcio ,40,24,30
50,2017,Benevento ,21,23,40
51,2017,Genoa CFC ,41,23,27
52,2017,AS Roma ,77,31,19
53,2017,AC Chievo Verona ,40,22,24
54,2017,ACF Fiorentina ,57,27,22
55,2017,AC Milan ,64,25,16
56,2017,SSC Napoli ,91,43,18
57,2017,SPAL ,38,22,29
58,2017,Torino FC ,54,29,18
59,2017,Cagliari Calcio ,39,18,30
60,2018,AC Chievo Verona ,20,14,37
61,2018,SS Lazio ,59,36,25
62,2018,Bologna FC ,44,28,22
63,2018,Empoli ,38,33,30
64,2018,Parma ,41,18,25
65,2018,US Sassuolo Calcio ,43,33,33
66,2018,Torino FC ,63,32,19
67,2018,Atalanta BC ,69,36,19
68,2018,Juventus ,90,39,13
69,2018,SSC Napoli ,79,41,16
70,2018,Cagliari Calcio ,41,23,20
71,2018,ACF Fiorentina ,41,25,19
72,2018,Frosinone ,25,14,38
73,2018,Genoa CFC ,38,21,22
74,2018,FC Internazionale Milano ,69,27,10
75,2018,SPAL ,42,20,26
76,2018,Udinese Calcio ,43,22,22
77,2018,AS Roma ,66,43,26
78,2018,AC Milan ,68,31,17
79,2018,UC Sampdoria ,53,28,16
80,2019,Parma ,35,17,12
81,2019,ACF Fiorentina ,30,13,17
82,2019,Udinese Calcio ,28,10,12
83,2019,Cagliari Calcio ,32,25,23
84,2019,AS Roma ,45,26,19
85,2019,UC Sampdoria ,26,16,22
86,2019,SPAL ,18,11,20
87,2019,Torino FC ,27,11,22
88,2019,Hellas Verona FC ,35,17,12
89,2019,FC Internazionale Milano ,54,23,10
90,2019,Bologna FC ,34,18,20
91,2019,AC Milan ,36,13,15
92,2019,Juventus ,63,31,10
93,2019,SS Lazio ,62,39,10
94,2019,Atalanta BC ,48,33,19
95,2019,Genoa CFC ,25,14,18
96,2019,US Lecce ,25,19,26
97,2019,US Sassuolo Calcio ,32,28,22
98,2019,SSC Napoli ,39,17,18
99,2019,Brescia ,16,13,25
