,Year,Teams,Points,Goals+,Goals-,avg age,avg heights (cm),avg weight (kg),agv player rating,avg player value (EU)
0,2015,Bournemouth,42,23,34,25.03,180.63,75.97,63.93,0
1,2015,Chelsea,50,32,30,23.76,183.42,77.3,73.27,0
2,2015,Everton,47,35,30,25.33,180.67,75.55,72.36,0
3,2015,Leicester City,81,35,18,25.03,181.85,75.76,66.45,0
4,2015,Manchester United,66,27,9,23.94,183.0,75.45,73.39,0
5,2015,Norwich City,34,26,30,25.7,182.3,76.83,69.4,0
6,2015,Arsenal,71,31,11,23.82,181.21,73.0,74.18,0
7,2015,Newcastle United,37,32,24,24.06,181.97,77.42,70.48,0
8,2015,Stoke City,51,22,24,25.45,185.33,78.18,70.09,0
9,2015,West Bromwich Albion,43,20,26,25.45,182.3,77.79,69.27,0
10,2015,Aston Villa,17,14,35,24.41,182.47,76.03,69.47,0
11,2015,Southampton,63,39,22,23.12,182.48,76.09,68.91,0
12,2015,Sunderland,39,23,20,23.85,182.33,76.0,68.03,0
13,2015,Swansea City,47,20,20,24.61,181.36,77.36,68.7,0
14,2015,Tottenham Hotspur,70,35,15,24.39,183.15,76.61,73.48,0
15,2015,Watford,45,20,19,25.33,182.13,76.4,66.33,0
16,2015,West Ham United,62,34,26,24.66,183.0,75.97,69.09,0
17,2015,Crystal Palace,42,19,23,26.42,182.52,76.21,69.42,0
18,2015,Manchester City,66,47,21,25.48,182.55,76.82,73.42,0
19,2015,Liverpool,60,33,22,23.42,180.27,73.85,73.06,0
20,2016,Burnley,40,26,20,26.48,182.85,77.07,69.04,1390370
21,2016,Crystal Palace,41,24,25,26.76,183.83,78.1,72.83,3330517
22,2016,Everton,61,42,16,25.75,181.07,75.14,74.36,6733928
23,2016,Hull City,34,28,35,24.96,182.25,76.25,67.75,2003392
24,2016,Manchester City,78,37,17,26.21,179.83,74.9,77.21,14970689
25,2016,Middlesbrough,28,17,23,25.81,183.93,77.11,67.85,1437777
26,2016,Southampton,46,17,21,24.35,181.97,76.26,72.06,4696129
27,2016,Arsenal,75,39,16,24.44,181.12,72.78,74.44,12559062
28,2016,Bournemouth,46,35,29,25.79,182.0,77.69,69.9,2162758
29,2016,Chelsea,93,55,17,24.07,183.04,76.46,76.32,17316071
30,2016,Manchester United,69,26,12,24.7,182.3,74.67,76.26,13582037
31,2016,Leicester City,44,31,25,25.74,180.65,74.87,69.39,2496612
32,2016,Stoke City,44,24,24,26.96,184.61,78.82,73.86,5223928
33,2016,Swansea City,41,27,34,25.77,181.9,77.17,72.07,4596666
34,2016,Tottenham Hotspur,86,47,9,22.77,182.13,74.17,72.73,7761500
35,2016,Watford,40,25,29,26.86,183.39,78.54,71.32,2790178
36,2016,West Bromwich Albion,45,27,22,25.37,182.27,76.9,70.13,3350000
37,2016,Sunderland,24,16,34,25.56,181.5,76.0,71.22,3335156
38,2016,West Ham United,45,19,31,24.13,182.61,75.9,70.45,4050161
39,2016,Liverpool,76,45,18,24.19,181.07,75.15,76.11,10711111
40,2017,Arsenal,63,54,20,24.48,182.76,75.21,76.15,15521969
41,2017,Brighton & Hove Albion,40,24,25,26.27,181.57,76.57,69.7,1781333
42,2017,Chelsea,70,30,16,24.27,183.18,77.12,75.55,15741818
43,2017,Crystal Palace,44,29,27,25.42,183.91,77.36,71.27,5042575
44,2017,Everton,49,28,22,25.03,180.3,75.58,73.55,8146969
45,2017,Southampton,36,20,26,24.21,180.76,75.7,71.94,5041060
46,2017,Watford,41,27,31,26.03,183.61,80.09,71.61,4477272
47,2017,West Bromwich Albion,31,21,29,24.56,184.06,76.97,68.59,3303281
48,2017,Manchester United,81,38,9,24.72,183.88,76.28,77.91,17663593
49,2017,Newcastle United,44,21,17,24.43,182.2,76.03,72.13,3723333
50,2017,Bournemouth,44,26,30,24.12,181.27,76.06,69.06,2993484
51,2017,Burnley,54,16,17,23.94,183.09,75.73,66.15,1906818
52,2017,Leicester City,47,25,22,24.7,181.88,74.58,71.52,6775000
53,2017,Liverpool,75,45,10,23.7,182.42,75.33,74.73,11576060
54,2017,Stoke City,33,20,30,26.21,183.64,77.12,72.73,6788939
55,2017,Swansea City,33,17,24,24.79,182.7,75.79,70.85,4705757
56,2017,Huddersfield Town,37,16,25,23.73,182.3,76.27,64.57,1009000
57,2017,Tottenham Hotspur,77,40,16,22.64,182.82,74.15,73.03,11726060
58,2017,Manchester City,100,61,14,24.82,180.67,73.85,75.55,14637727
59,2017,West Ham United,42,24,26,24.12,182.48,75.85,72.55,7179242
60,2018,Manchester United,66,33,25,24.64,184.45,75.82,77.67,18503787
61,2018,Bournemouth,45,30,25,24.88,181.58,75.79,70.15,4161515
62,2018,Fulham,26,22,36,23.67,180.1,73.3,68.37,3163333
63,2018,Huddersfield Town,16,10,31,24.36,184.64,77.39,66.88,2671363
64,2018,Newcastle United,45,24,25,24.06,182.15,75.48,70.79,4879242
65,2018,Watford,50,26,28,26.33,183.76,80.06,74.18,6571969
66,2018,Wolverhampton Wanderers,57,28,21,23.6,183.83,77.33,69.3,3652666
67,2018,Arsenal,70,42,16,24.73,181.12,74.73,75.76,15453030
68,2018,Liverpool,97,55,10,24.09,181.18,74.88,75.91,14128030
69,2018,Southampton,39,27,30,24.21,181.82,75.12,71.88,7053636
70,2018,Cardiff City,34,21,38,26.53,182.43,77.03,66.93,1291666
71,2018,Chelsea,72,39,12,24.39,182.06,77.09,76.52,20360909
72,2018,Everton,54,30,21,25.18,180.91,75.27,74.73,10062121
73,2018,Leicester City,52,24,20,25.15,183.21,80.3,72.18,7160151
