,Teams2015,Points2015,Goals+2015,Goals-2015,Teams2016,Points2016,Goals+2016,Goals-2016,Teams2017,Points2017,Goals+2017,Goals-2017,Teams2018,Points2018,Goals+2018,Goals-2018,Teams2019,Points2019,Goals+2019,Goals-2019
0,SS Lazio ,54,32,23,Juventus ,91,48,9,Juventus ,95,45,8,AC Chievo Verona ,20,14,37,Parma ,35,17,12
1,Hellas Verona FC ,28,21,30,AS Roma ,87,50,18,Hellas Verona FC ,25,14,35,SS Lazio ,59,36,25,ACF Fiorentina ,30,13,17
2,Empoli ,46,22,20,Atalanta BC ,72,31,18,Atalanta BC ,60,30,18,Bologna FC ,44,28,22,Udinese Calcio ,28,10,12
3,ACF Fiorentina ,64,34,16,Bologna FC ,41,24,25,Bologna FC ,39,25,26,Empoli ,38,33,30,Cagliari Calcio ,32,25,23
4,Frosinone ,31,18,26,AC Chievo Verona ,43,25,30,FC Crotone ,35,23,25,Parma ,41,18,25,AS Roma ,45,26,19
5,FC Internazionale Milano ,67,29,15,Empoli ,32,16,29,FC Internazionale Milano ,72,37,16,US Sassuolo Calcio ,43,33,33,UC Sampdoria ,26,16,22
6,Juventus ,91,37,6,Genoa CFC ,36,24,24,SS Lazio ,72,45,21,Torino FC ,63,32,19,SPAL ,18,11,20
7,Palermo ,39,24,30,AC Milan ,63,32,20,UC Sampdoria ,54,36,20,Atalanta BC ,69,36,19,Torino FC ,27,11,22
8,UC Sampdoria ,40,29,25,Palermo ,26,13,30,US Sassuolo Calcio ,43,11,22,Juventus ,90,39,13,Hellas Verona FC ,35,17,12
9,US Sassuolo Calcio ,61,25,20,Pescara ,18,19,38,Udinese Calcio ,40,24,30,SSC Napoli ,79,41,16,FC Internazionale Milano ,54,23,10
10,Bologna FC ,42,20,21,SS Lazio ,70,40,23,Benevento ,21,23,40,Cagliari Calcio ,41,23,20,Bologna FC ,34,18,20
11,AC Milan ,57,28,22,SSC Napoli ,86,44,19,Genoa CFC ,41,23,27,ACF Fiorentina ,41,25,19,AC Milan ,36,13,15
12,Atalanta BC ,45,27,21,Cagliari Calcio ,47,38,34,AS Roma ,77,31,19,Frosinone ,25,14,38,Juventus ,63,31,10
13,Carpi ,38,23,26,FC Crotone ,34,21,25,AC Chievo Verona ,40,22,24,Genoa CFC ,38,21,22,SS Lazio ,62,39,10
14,AC Chievo Verona ,50,25,18,ACF Fiorentina ,60,34,23,ACF Fiorentina ,57,27,22,FC Internazionale Milano ,69,27,10,Atalanta BC ,48,33,19
15,Genoa CFC ,46,29,19,FC Internazionale Milano ,62,44,22,AC Milan ,64,25,16,SPAL ,42,20,26,Genoa CFC ,25,14,18
16,SSC Napoli ,82,49,12,UC Sampdoria ,48,28,23,SSC Napoli ,91,43,18,Udinese Calcio ,43,22,22,US Lecce ,25,19,26
17,AS Roma ,80,44,17,US Sassuolo Calcio ,46,27,28,SPAL ,38,22,29,AS Roma ,66,43,26,US Sassuolo Calcio ,32,28,22
18,Torino FC ,45,25,25,Torino FC ,53,43,31,Torino FC ,54,29,18,AC Milan ,68,31,17,SSC Napoli ,39,17,18
19,Udinese Calcio ,39,18,28,Udinese Calcio ,45,30,23,Cagliari Calcio ,39,18,30,UC Sampdoria ,53,28,16,Brescia ,16,13,25
