,Year,Teams,Points,Goals+,Goals-,index,short_name,nationality
0,2015,Málaga CF,48,26,15,269,G. Ochoa,Mexico
1,2015,Málaga CF,48,26,15,449,Camacho,Spain
2,2015,Málaga CF,48,26,15,594,N. Amrabat,Morocco
3,2015,Málaga CF,48,26,15,772,Antunes,Portugal
4,2015,Málaga CF,48,26,15,790,Portillo,Spain
5,2015,Málaga CF,48,26,15,800,R. Santa Cruz,Paraguay
6,2015,Málaga CF,48,26,15,867,Weligton,Brazil
7,2015,Málaga CF,48,26,15,884,P. Pérez,Argentina
8,2015,Málaga CF,48,26,15,1128,Sergio Sánchez,Spain
9,2015,Málaga CF,48,26,15,1455,M. Angeleri,Argentina
10,2015,Málaga CF,48,26,15,1478,F. Tissone,Argentina
11,2015,Málaga CF,48,26,15,1639,R. Rosales,Venezuela
12,2015,Málaga CF,48,26,15,1739,A. Boka,Ivory Coast
13,2015,Málaga CF,48,26,15,1753,Duda,Portugal
14,2015,Málaga CF,48,26,15,1757,C. Kameni,Cameroon
15,2015,Málaga CF,48,26,15,1853,Miguel Torres,Spain
16,2015,Málaga CF,48,26,15,1863,Casado,Spain
17,2015,Málaga CF,48,26,15,1905,Luis Alberto,Spain
18,2015,Málaga CF,48,26,15,1908,Flávio Ferreira,Portugal
19,2015,Málaga CF,48,26,15,1921,Ricardo Horta,Portugal
20,2015,Málaga CF,48,26,15,2440,Recio,Spain
21,2015,Málaga CF,48,26,15,2501,Sergi Darder,Spain
22,2015,Málaga CF,48,26,15,3406,E. Rescaldani,Argentina
23,2015,Málaga CF,48,26,15,3977,Juanmi,Spain
24,2015,Málaga CF,48,26,15,4914,Samuel,Spain
25,2015,Málaga CF,48,26,15,5531,R. Chen,Panama
26,2015,Málaga CF,48,26,15,8148,Samu Castillejo,Spain
27,2015,Málaga CF,48,26,15,9299,A. Cousillas,Argentina
28,2015,Málaga CF,48,26,15,10856,J. Añor,Venezuela
29,2015,Málaga CF,48,26,15,10914,Ernesto,Spain
30,2015,Málaga CF,48,26,15,14136,Rafa,Spain
31,2015,Málaga CF,48,26,15,14433,Iván Rodríguez,Spain
32,2015,Atlético Madrid,88,33,7,45,A. Turan,Turkey
33,2015,Atlético Madrid,88,33,7,62,D. Godín,Uruguay
34,2015,Atlético Madrid,88,33,7,93,Miranda,Brazil
35,2015,Atlético Madrid,88,33,7,97,M. Mandžukić,Croatia
36,2015,Atlético Madrid,88,33,7,102,A. Griezmann,France
37,2015,Atlético Madrid,88,33,7,112,Koke,Spain
38,2015,Atlético Madrid,88,33,7,137,Gabi,Spain
39,2015,Atlético Madrid,88,33,7,244,A. Cerci,Italy
40,2015,Atlético Madrid,88,33,7,252,Tiago,Portugal
41,2015,Atlético Madrid,88,33,7,309,Mario Suárez,Spain
42,2015,Atlético Madrid,88,33,7,372,Juanfran,Spain
43,2015,Atlético Madrid,88,33,7,387,C. Rodríguez,Uruguay
44,2015,Atlético Madrid,88,33,7,388,Raúl García,Spain
45,2015,Atlético Madrid,88,33,7,473,Moyá,Spain
46,2015,Atlético Madrid,88,33,7,504,Jesús Gámez,Spain
47,2015,Atlético Madrid,88,33,7,556,J. Oblak,Slovenia
48,2015,Atlético Madrid,88,33,7,579,C. Ansaldi,Argentina
49,2015,Atlético Madrid,88,33,7,657,Siqueira,Brazil
50,2015,Atlético Madrid,88,33,7,1162,Saúl,Spain
51,2015,Atlético Madrid,88,33,7,1298,R. Jiménez,Mexico
52,2015,Atlético Madrid,88,33,7,2345,J. Giménez,Uruguay
53,2015,Atlético Madrid,88,33,7,2363,Aquino,Spain
54,2015,Atlético Madrid,88,33,7,7149,A. Robles,Chile
55,2015,Atlético Madrid,88,33,7,8104,L. Hernández,France
56,2015,Atlético Madrid,88,33,7,9922,Héctor,Spain
57,2015,Atlético Madrid,88,33,7,10209,Samuel Saiz,Spain
58,2015,Atlético Madrid,88,33,7,10757,M. N'Doye,Senegal
59,2015,Atlético Madrid,88,33,7,11673,Carlos Ramos,Spain
60,2015,Atlético Madrid,88,33,7,12432,Dani Espejo,Spain
61,2015,RCD Espanyol,43,22,28,234,Kiko Casilla,Spain
62,2015,RCD Espanyol,43,22,28,412,H. Moreno,Mexico
63,2015,RCD Espanyol,43,22,28,602,José Cañas,Spain
64,2015,RCD Espanyol,43,22,28,821,Sergio García,Spain
65,2015,RCD Espanyol,43,22,28,927,F. Caicedo,Ecuador
66,2015,RCD Espanyol,43,22,28,968,Montañés,Spain
67,2015,RCD Espanyol,43,22,28,1072,D. Colotto,Argentina
68,2015,RCD Espanyol,43,22,28,1321,Victor Sánchez,Spain
69,2015,RCD Espanyol,43,22,28,1444,Salva Sevilla,Spain
70,2015,RCD Espanyol,43,22,28,1620,Raúl Rodríguez,Spain
71,2015,RCD Espanyol,43,22,28,2232,Lanzarote,Spain
72,2015,RCD Espanyol,43,22,28,2419,C. Stuani,Uruguay
73,2015,RCD Espanyol,43,22,28,2433,Álex Fernández,Spain
74,2015,RCD Espanyol,43,22,28,2695,Abraham,Spain
75,2015,RCD Espanyol,43,22,28,2768,Javi López,Spain
76,2015,RCD Espanyol,43,22,28,2992,Álvaro,Spain
77,2015,RCD Espanyol,43,22,28,3062,Arbilla,Spain
78,2015,RCD Espanyol,43,22,28,3506,Víctor Álvarez,Spain
79,2015,RCD Espanyol,43,22,28,4008,Felipe Mattioni,Brazil
80,2015,RCD Espanyol,43,22,28,4156,Fuentes,Spain
81,2015,RCD Espanyol,43,22,28,5562,Adriá Carmona,Spain
82,2015,RCD Espanyol,43,22,28,6675,Lucas Vázquez,Spain
83,2015,RCD Espanyol,43,22,28,10305,Germán Parreño,Spain
84,2015,RCD Espanyol,43,22,28,10911,Clerc,Spain
85,2015,RCD Espanyol,43,22,28,11576,Aday,Spain
86,2015,RCD Espanyol,43,22,28,11592,Rober,Spain
87,2015,RCD Espanyol,43,22,28,12314,Jairo Morilla,Spain
